City,Covid Cases
Parasi,2303.4338
Lathi,2290.7832
Lalganj,2148.8994
Narkhed,2444.5105
Mathabhanga,2748.5896
Shendurjana,2524.2896
Peravurani,2785.8813
Mariani,2456.9077
Phulpur,2161.468
Rania,1794.5717
Pali,2175.501
Pachore,1776.5356
Parangipettai,3393.4692
Pudupattinam,3106.1458
Panniyannur,2989.1763
Maharajganj,2708.9568
Rau,1806.9374
Monoharpur,2511.7795
Mandawa,2032.2578
Marigaon,2304.6533
Pallikonda,2838.7869
Pindwara,1900.8093
Shishgarh,2283.2537
Charthaval,2029.5343
Patur,2564.131
Mayang Imphal,2424.9565
Mhowgaon,2517.674
Guruvayoor,2925.8274
Mhaswad,2505.9644
Sahawar,2264.1538
Sivagiri,2989.0205
Mundargi,2463.487
Punjaipugalur,3196.0864
Kailasahar,2718.4197
Samthar,2221.279
Sakti,2066.867
Silao,2658.4116
Mandalgarh,4350.903
Loha,2455.885
"Srinagar, Uttarakhand",2206.1055
Pukhrayan,2363.5405
Padmanabhapuram,3707.248
Belonia,2415.9973
Bhusawar,2023.4093
Saiha,2257.7183
Inkollu,2402.4185
Srirampore,2778.3845
Talwara,2478.7537
Gadarpur,2347.1907
Sarsawa,2074.6917
Puthuppally,3194.0745
Khowai,2862.482
Landhaura,4408.1763
Tanakpur,2168.1584
Uttarkashi,2019.8518
Vijaypur,1858.2775
Takhatgarh,2016.2606
Joshimath,1918.8802
Owk,2641.3425
Khatima,1816.8362
Thirupuvanam,3206.4668
Adra,2541.5862
Piriyapatna,3002.6428
Obra,2607.0042
Vikasnagar,2248.3862
Amaravathi,2311.1055
Khanda,1209.8694
Mahua Kheraganj,2138.3115
Talbehat,2038.793
Adalaj,1993.9979
Nandgaon,2474.095
Bagha Kusmar,2634.7556
Dineshpur,2112.2559
Jhabrera,1996.6896
Kela Khera,2064.5286
Muni Ki Reti,1901.2354
Chhapra,2337.3452
Panamattom,3077.2317
Gavaravaram,2295.7754
Sultanpur,2042.8763
Herbertpur,2100.184
Rudraprayag,1904.0388
Niwai,2081.8967
Bageshwar,1962.3823
Gochar,2165.5488
Doiwala,2133.4836
Tarbha,2968.1003
Karnaprayag,2040.0496
Sanivarapupeta,2563.1714
Lohaghat,1714.9243
Bhimtal,2024.5913
Lalkuan,2024.5913
Kaladhungi,1741.2434
Naura,1994.59
Mahua Dabra Haripura,2050.121
Chandpara,2841.0818
Dharchula,1840.0503
Adyar,2686.0408
Narsinghgarh,1789.8456
Barkot,2194.669
Didihat,2002.8455
Satrampadu,2557.1687
Warud,2468.4077
Asarganj,2639.7896
Bhowali,2213.5413
Shaktigarh,2147.234
Narendranagar,2112.2559
Champawat,2085.3208
Sarsod,2017.3467
Bhaiseena,2162.4395
Dwarahat,1933.4734
Badrinath,2430.5532
Dogadda,1078.091
Devprayag,2242.1653
Nandaprayag,2194.669
Kirtinagar,2169.1392
Kedarnath,2137.7856
Gangotri,2194.669
Kumarganj,2132.3044
